HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Source,Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),References
4631,Animalia,Mollusca,Bivalvia,Venerida,Arcticidae,Arctica,islandica,Ocean quahog clam,4562,4780,,,,,,,,,,507,1086,wild,medium,acceptable,,999,,,,"2,14,593,829,893,1085,1086,1095,1098,1162,1163,1164,1165,1226,1365"
1853,Animalia,Chordata,Chondrichthyes,Squaliformes,Somniosidae,Somniosus,microcephalus,Greenland shark,56940,,,,,,,,,,,392,1153,wild,small,acceptable,,,,,,"11,531,154"
2275,Animalia,Chordata,Mammalia,Cetacea,Balaenidae,Balaena,mysticetus,Bowhead whale,8212,8212,396,,1,0.3,1642,900000,,100000000,,211,21,wild,medium,acceptable,,,,,,"21,49,434,447,455,538,610,680,890,978,1136,1309,1310"
4502,Animalia,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,aleutianus,Rougheye rockfish,,,,,,,,,,495,,205,22,wild,medium,acceptable,0.05,999,,,,"2,22,454,472"
4604,Animalia,Echinodermata,Echinoidea,Echinoida,Strongylocentrotidae,Strongylocentrotus,franciscanus,Red sea urchin,550,550,,,,,,,,,,200,40,wild,medium,acceptable,,999,,,,4.06E+26
3769,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Chelonoidis,nigra,Galapagos tortoise,,,,,,,,,,,,177,451,captivity,medium,acceptable,,,,,,"13,14,451,543,1171"
1866,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,fulvescens,Lake sturgeon,9490,2920,6,,350000,,,,,70000,,152,1,wild,medium,acceptable,0.013,10,,,,"1,2,440,454,524"
2789,Animalia,Chordata,Mammalia,Primates,Hominidae,Homo,sapiens,Human,4745,5110,280,,1,0.3,639,3312.5,,62035,0.0005,122.5,29,captivity,huge,high,0.0002,8,82.78,70000,310.15,"2,13,14,29,30,31,36,58,59,65,75,76,110,111,121,125,134,189,217,253,254,255,256,325,331,405,434,436,455,465,467,607,715,731,742,798,841,899,975,976,981,1078,1103,1122,1123,1136,1150,1242,1274,1315"
2281,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,musculus,Blue whale,1827,1827,350,182,1,0.4,914,2000000,17000000,136000000,,110,1,wild,medium,acceptable,,,,,,"1,434,441,455,538,610,000"
25,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,americanus,Lobster,,,,,,,,,,,,100,2,wild,medium,acceptable,,,,,,"2,13,594"
