HAGRID,Kingdom,Phylum,Class,Order,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Adult weight (g),Maximum longevity (yrs),Specimen origin,Sample size,Data quality,Temperature (K)
2275,Animalia,Chordata,Mammalia,Cetacea,Bowhead whale,8212,8212,396,1,0.3,1642,900000,100000000,211,wild,medium,acceptable,
4502,Animalia,Chordata,Teleostei,Scorpaeniformes,Rougheye rockfish,,,,,,,,495,205,wild,medium,acceptable,
4507,Animalia,Chordata,Teleostei,Scorpaeniformes,Shortraker rockfish,,,,,,,,8910,157,wild,medium,acceptable,
3764,Animalia,Chordata,Reptilia,Testudines,Aldabra tortoise,9131,9131,7397,,,,,117200,152,captivity,large,acceptable,
1866,Animalia,Chordata,Chondrostei,Acipenseriformes,Lake sturgeon,9490,2920,6,350000,,,,70000,152,wild,medium,acceptable,
3814,Animalia,Chordata,Teleostei,Beryciformes,Orange roughy,6448,7208,,,,,,3850,149,wild,medium,acceptable,
4596,Animalia,Chordata,Teleostei,Zeiformes,Warty oreo,,,,,,,,1100,140,wild,medium,acceptable,
3710,Animalia,Chordata,Reptilia,Testudines,Eastern box turtle,2190,2190,,,,,,372,138,wild,medium,acceptable,
3782,Animalia,Chordata,Reptilia,Testudines,Mediterranean spur-thighed tortoise,4560,4560,,,,,,1430,127,captivity,large,acceptable,
2789,Animalia,Chordata,Mammalia,Primates,Human,4745,5110,280,1,0.3,639,3312.5,62035,122.5,captivity,huge,high,310.15
1875,Animalia,Chordata,Chondrostei,Acipenseriformes,Beluga sturgeon,6387,4745,,,,,,1139600,118,wild,medium,acceptable,
4542,Animalia,Chordata,Teleostei,Scorpaeniformes,Rasphead rockfish,4927,4927,,,,,,9790,118,wild,medium,acceptable,
4532,Animalia,Chordata,Teleostei,Scorpaeniformes,Tiger rockfish,,,,,,,,1221,116,wild,medium,acceptable,
4551,Animalia,Chordata,Teleostei,Scorpaeniformes,Shortspine thornyhead,,,,,,,,1270.5,115,wild,medium,acceptable,
2282,Animalia,Chordata,Mammalia,Cetacea,Fin whale,2701,2864,342,1,0.4,608,1800000,70000000,114,wild,medium,acceptable,
4481,Animalia,Chordata,Teleostei,Scorpaeniformes,Sablefish,2190,,,,,,,31350,114,wild,medium,acceptable,
3880,Animalia,Chordata,Teleostei,Cypriniformes,Bigmouth buffalo,3287,2191,,,,,,17545,112,wild,medium,acceptable,
2281,Animalia,Chordata,Mammalia,Cetacea,Blue whale,1827,1827,350,1,0.4,914,2000000,136000000,110,wild,medium,acceptable,
4506,Animalia,Chordata,Teleostei,Scorpaeniformes,Redbanded rockfish,,,,,,,,2442,106,wild,medium,acceptable,
1873,Animalia,Chordata,Chondrostei,Acipenseriformes,White sturgeon,8212,6022,,,,,,448800,104,wild,medium,acceptable,
183,Animalia,Chordata,Amphibia,Caudata,Olm,4124,,133,35,,4562,,17,102,wild,medium,acceptable,
1872,Animalia,Chordata,Chondrostei,Acipenseriformes,European sturgeon,4608,3467,,,,,,220000,100,wild,medium,acceptable,
4598,Animalia,Chordata,Teleostei,Zeiformes,Smooth oreo,11315,,,,,,,2750,100,wild,medium,acceptable,
4597,Animalia,Chordata,Teleostei,Zeiformes,Spiky oreo,,,,,,,,1100,100,wild,medium,acceptable,
4595,Animalia,Chordata,Teleostei,Zeiformes,Black oreo,9855,9855,,,,,,825,100,wild,medium,acceptable,
4503,Animalia,Chordata,Teleostei,Scorpaeniformes,Pacific ocean perch,3169,3833,,,,,,770,100,wild,medium,acceptable,
2283,Animalia,Chordata,Mammalia,Cetacea,Humpback whale,1643,1643,342,1,0.5,657,1350000,30000000,95,wild,medium,acceptable,309.15
2295,Animalia,Chordata,Mammalia,Cetacea,Killer whale,3780,4930,435,1,0.2,1096,180000,3987500,90,wild,medium,acceptable,309.15
4424,Animalia,Chordata,Teleostei,Pleuronectiformes,Atlantic halibut,3613,3102,,,,,,176000,90,wild,medium,acceptable,
4526,Animalia,Chordata,Teleostei,Scorpaeniformes,Quillback rockfish,,,,,,,,1804,90,wild,medium,acceptable,
3265,Animalia,Chordata,Reptilia,Rhynchocephalia,Tuatara,4380,4380,,,,,,430,90,captivity,medium,acceptable,295.5
3792,Animalia,Chordata,Teleostei,Anguilliformes,European eel,4562,4015,,,,,,3629.45,88,captivity,small,acceptable,
2306,Animalia,Chordata,Mammalia,Cetacea,Baird's beaked whale,4383,2922,517,1,0.3,,,11380000,84,wild,medium,acceptable,
4535,Animalia,Chordata,Teleostei,Scorpaeniformes,Canary rockfish,2007,2007,,,,,,2491.5,84,wild,medium,acceptable,
4517,Animalia,Chordata,Teleostei,Scorpaeniformes,Splitnose rockfish,1825,1825,,,,,,445.5,84,wild,medium,acceptable,
1542,Animalia,Chordata,Aves,Psittaciformes,Pink cockatoo,,,,,,,,390,83,captivity,medium,acceptable,
4508,Animalia,Chordata,Teleostei,Scorpaeniformes,Silvergray rockfish,,,,,,,,2590.5,82,wild,medium,acceptable,
2838,Animalia,Chordata,Mammalia,Proboscidea,Asiatic elephant,3287,3287,644,1,0.2,1141,107000,3178000,79.6,captivity,large,acceptable,308.95
283,Animalia,Chordata,Aves,Accipitriformes,Andean condor,2555,2555,56,1,,,,10500,79,captivity,medium,acceptable,
4531,Animalia,Chordata,Teleostei,Scorpaeniformes,China rockfish,,,,,,,,918.5,79,wild,medium,acceptable,
2305,Animalia,Chordata,Mammalia,Cetacea,Gray whale,2922,2922,395,1,0.5,730,500000,28500000,77,wild,medium,acceptable,
2319,Animalia,Chordata,Mammalia,Cetacea,Sperm whale,2922,3650,502,1,0.2,1259,1000000,28500000,77,wild,medium,acceptable,
3683,Animalia,Chordata,Reptilia,Testudines,Loggerhead sea turtle,3650,3650,60,115,,,,156500,77,wild,medium,acceptable,
3244,Animalia,Chordata,Reptilia,Crocodilia,American alligator,4380,4380,,,,,,150000,77,captivity,large,high,295.31
3695,Animalia,Chordata,Reptilia,Testudines,Blanding's turtle,6500,4380,,8,,,,1162,77,wild,medium,acceptable,
3684,Animalia,Chordata,Reptilia,Testudines,Green sea turtle,3650,3650,59,150,,,,160000,75,unknown,medium,acceptable,
4321,Animalia,Chordata,Teleostei,Perciformes,Giant sea bass,,,,,,,,140580,75,wild,medium,acceptable,
1854,Animalia,Chordata,Chondrichthyes,Squaliformes,Spur dogfish,7668,3163,,8,,730,,5005,75,wild,medium,acceptable,
2279,Animalia,Chordata,Mammalia,Cetacea,Sei whale,3652,3652,345,1,0.5,730,680000,20000000,74,wild,medium,acceptable,
3206,Animalia,Chordata,Mammalia,Sirenia,Dugong,3470,3470,374,1,0.2,1521,27500,360000,73,captivity,small,acceptable,306.15
2280,Animalia,Chordata,Mammalia,Cetacea,Bryde's whale,3104,3104,376,1,0.5,,1000000,16000000,72,wild,medium,acceptable,
3688,Animalia,Chordata,Reptilia,Testudines,Alligator snapping turtle,4015,4015,120,30,,,,58500,70.3,captivity,small,acceptable,
2276,Animalia,Chordata,Mammalia,Cetacea,Southern right whale,3285,,365,1,0.3,1214,910000,45000000,70,wild,medium,acceptable,
3262,Animalia,Chordata,Reptilia,Crocodilia,West African dwarf crocodile,1825,1825,,10,,,,40000,70,captivity,medium,acceptable,
392,Animalia,Chordata,Aves,Bucerotiformes,Southern ground hornbill,1638,1096,,,,,,3767.5,70,captivity,medium,acceptable,
1444,Animalia,Chordata,Aves,Procellariiformes,Laysan albatross,3141,3068,64,1,1,,167.2,3150,70,wild,large,acceptable,
3208,Animalia,Chordata,Mammalia,Sirenia,West Indian manatee,1278,913,335,1,0.4,1187,32000,322000,69,captivity,medium,acceptable,
819,Animalia,Chordata,Aves,Passeriformes,Common raven,1095,1095,19,5,1,,25,1041.2,69,captivity,medium,acceptable,
2791,Animalia,Chordata,Mammalia,Primates,Chimpanzee,3376,2920,229,1,0.2,840,1821,44983.5,68,captivity,large,acceptable,308.85
1681,Animalia,Chordata,Aves,Strigiformes,Eurasian eagle-owl,730,730,,,,,,2686,68,captivity,large,acceptable,
2277,Animalia,Chordata,Mammalia,Cetacea,North atlantic right whale,2920,2920,350,1,0.29,1445,794328,23000000,67,wild,medium,acceptable,
1864,Animalia,Chordata,Chondrostei,Acipenseriformes,Shortnose sturgeon,5657,,13,120000,,,,9325,67,wild,medium,acceptable,
4513,Animalia,Chordata,Teleostei,Scorpaeniformes,Dusky rockfish,,,,,,,,995.5,67,wild,medium,acceptable,
1543,Animalia,Chordata,Aves,Psittaciformes,Salmon-crested cockatoo,,,,,,,,830,65.8,captivity,large,acceptable,
2839,Animalia,Chordata,Mammalia,Proboscidea,African bush elephant,4018,3650,670,1,0.2,1707,105000,4800000,65,captivity,large,acceptable,309.35
3245,Animalia,Chordata,Reptilia,Crocodilia,Chinese alligator,2191,,,,,,,14600,65,captivity,medium,acceptable,
4520,Animalia,Chordata,Teleostei,Scorpaeniformes,Yellowtail rockfish,2555,2190,,,,,,1380.5,64,wild,medium,acceptable,
2288,Animalia,Chordata,Mammalia,Cetacea,Short-finned pilot whale,3470,5332,452,1,0.2,1095,60000,2200000,63,wild,medium,acceptable,
3771,Animalia,Chordata,Reptilia,Testudines,Desert tortoise,5500,5500,118,8,,,,2784,62.8,captivity,medium,acceptable,
2297,Animalia,Chordata,Mammalia,Cetacea,False killer whale,3468,6756,451,1,0.1,1096,,748000,62.5,captivity,small,acceptable,309.75
2310,Animalia,Chordata,Mammalia,Cetacea,Cuvier's beaked whale,,,365,1,,,,2701000,62,wild,medium,acceptable,
2049,Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamus,1279,1279,234,1,0.6,563,40000,3750000,61.2,captivity,large,acceptable,308.55
3692,Animalia,Chordata,Reptilia,Testudines,Painted turtle,2750,1642,,,,,,371.8,61,wild,medium,acceptable,289.5
2788,Animalia,Chordata,Mammalia,Primates,Gorilla,2829,4015,256,1,0.3,1397,2061.4,139842,60.1,captivity,large,acceptable,308.65
2289,Animalia,Chordata,Mammalia,Cetacea,Long-finned pilot whale,2470,4380,450,1,0.2,,109667,1060000,60,captivity,tiny,acceptable,
1868,Animalia,Chordata,Chondrostei,Acipenseriformes,Atlantic sturgeon,,,,,,,,202400,60,wild,medium,acceptable,
4587,Animalia,Chordata,Teleostei,Siluriformes,Sheatfish,1277,912,,,,,,168300,60,captivity,small,acceptable,
1870,Animalia,Chordata,Chondrostei,Acipenseriformes,Amur sturgeon,4562,3285,,,,,,104500,60,wild,medium,acceptable,
4320,Animalia,Chordata,Teleostei,Perciformes,Hapuka,,4197,,,,,,55000,60,wild,medium,acceptable,
3795,Animalia,Chordata,Teleostei,Anguilliformes,New Zealand longfin eel,,,,,,,,13000,60,wild,medium,acceptable,
4380,Animalia,Chordata,Teleostei,Perciformes,Painted comber,,,,,,,,8250,60,wild,medium,acceptable,
2798,Animalia,Chordata,Mammalia,Primates,Borneo gibbon,2849,1825,207,1,,1080,,5765,60,captivity,medium,acceptable,
1654,Animalia,Chordata,Aves,Psittaciformes,Kakapo,3650,1825,30,2.5,,,,1750,60,captivity,small,acceptable,
3697,Animalia,Chordata,Reptilia,Testudines,Wood turtle,5840,5840,,,,,,968.2,60,captivity,small,acceptable,
3263,Animalia,Chordata,Reptilia,Crocodilia,Gharial,3652,4748,70,,,,,153000,59,captivity,small,acceptable,
2792,Animalia,Chordata,Mammalia,Primates,Orangutan,2555,2555,249,1,0.2,1414,1736.5,64475,59,captivity,large,acceptable,
1405,Animalia,Chordata,Aves,Phoenicopteriformes,Greater flamingo,1825,1825,30,1,,,,2500,58.8,captivity,large,acceptable,
3247,Animalia,Chordata,Reptilia,Crocodilia,Broad-snouted caiman,1826,1826,70,,,,,14600,58,captivity,medium,acceptable,
1441,Animalia,Chordata,Aves,Procellariiformes,Royal albatross,3652,,,,,,,9000,58,wild,medium,acceptable,
2301,Animalia,Chordata,Mammalia,Cetacea,Striped dolphin,2834,3025,350,1.5,0.3,1253,10000,112500,57.5,wild,medium,acceptable,
2645,Animalia,Chordata,Mammalia,Perissodactyla,Black rhinoceros,1826,2254,474,1,0.4,1059,36500,1100000,57,wild,medium,acceptable,312.15
2637,Animalia,Chordata,Mammalia,Perissodactyla,Horse,914,973,337,1,1,548,38000,300000,57,captivity,large,high,311.45
4221,Animalia,Chordata,Teleostei,Perciformes,Northern red snapper,,,,,,,,12540,57,wild,medium,acceptable,
1539,Animalia,Chordata,Aves,Psittaciformes,Sulphur-crested cockatoo,1461,1278,27,2,,,,800,57,captivity,large,acceptable,
1627,Animalia,Chordata,Aves,Psittaciformes,Palm cockatoo,2739,,,,,,,841,56.3,captivity,medium,acceptable,
3261,Animalia,Chordata,Reptilia,Crocodilia,African slender-snouted crocodile,4566,4566,75,,,,,50500,56.1,captivity,medium,acceptable,
3255,Animalia,Chordata,Reptilia,Crocodilia,Nile crocodile,6940,,,,,,,94200,56,captivity,medium,acceptable,
2237,Animalia,Chordata,Mammalia,Carnivora,Baikal seal,2129,2557,273,1.02,1,365,3000,90000,56,captivity,small,acceptable,
2796,Animalia,Chordata,Mammalia,Primates,White-handed gibbon,2555,1825,217,1,0.5,1095,307.2,6810,56,captivity,large,high,
226,Animalia,Chordata,Aves,Accipitriformes,Eastern imperical eagle,1636,,,,,,,3262,56,captivity,medium,acceptable,
1506,Animalia,Chordata,Aves,Psittaciformes,Yellow-crowned parrot,,,,,,,,430,56,captivity,medium,acceptable,
1874,Animalia,Chordata,Chondrostei,Acipenseriformes,Kaluga,6113,6387,,,,,,550000,55,wild,medium,acceptable,
4009,Animalia,Chordata,Teleostei,Elopiformes,Tarpon,3102,3650,,,,,,88550,55,wild,medium,acceptable,
1877,Animalia,Chordata,Chondrostei,Acipenseriformes,Mississippi paddlefish,3285,2190,,,,,,49885,55,wild,medium,acceptable,
2790,Animalia,Chordata,Mammalia,Primates,"Pygmy chimpanzee, or Bonobo",3194,,232,1,0.2,1825,1331,39925,55,captivity,tiny,acceptable,
1777,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Tope shark,4615,,,24.9,,1095,,24585,55,wild,medium,acceptable,
4525,Animalia,Chordata,Teleostei,Scorpaeniformes,Cowcod,4015,4380,,,,,,7150,55,wild,medium,acceptable,
4510,Animalia,Chordata,Teleostei,Scorpaeniformes,Copper rockfish,,,,,,,,1507,55,wild,medium,acceptable,
3756,Animalia,Chordata,Reptilia,Testudines,Stinkpot,1277,1277,,,,,,137.9,54.8,captivity,tiny,acceptable,
3766,Animalia,Chordata,Reptilia,Testudines,African spurred tortoise,,,,,,,,43000,54.3,captivity,large,acceptable,
1817,Animalia,Chordata,Chondrichthyes,Orectolobiformes,Whale shark,6935,6935,,300,,730,,18700000,54,wild,medium,acceptable,
1372,Animalia,Chordata,Aves,Pelecaniformes,American white pelican,1095,1095,36,2,1,,110,6129,54,wild,medium,acceptable,
2704,Animalia,Chordata,Mammalia,Primates,White-faced capuchin,1505,2921,162,1,0.5,803,230,2655,54,captivity,medium,acceptable,
4040,Animalia,Chordata,Teleostei,Gadiformes,Rock grenadier,3650,,,,,,,929.5,54,wild,medium,acceptable,
3291,Animalia,Chordata,Reptilia,Squamata,"European glass lizard, or Armored glass lizard",730,730,42,8,,,,450,54,unknown,medium,acceptable,
3285,Animalia,Chordata,Reptilia,Squamata,Slow worm,1644,1096,91,,,,,11.655,54,captivity,medium,acceptable,
1560,Animalia,Chordata,Aves,Psittaciformes,Vasa parrot,,,,,,,,525,53.9,captivity,medium,acceptable,
4544,Animalia,Chordata,Teleostei,Scorpaeniformes,Bank rockfish,,,,,,,,1089,53,wild,medium,acceptable,
2304,Animalia,Chordata,Mammalia,Cetacea,Bottlenosed dolphin,2831,3689,365,1,0.5,858,19350,200000,51.6,captivity,medium,acceptable,
3256,Animalia,Chordata,Reptilia,Crocodilia,New Guinea crocodile,2191,3652,87,,,,,39900,51,captivity,medium,acceptable,
1374,Animalia,Chordata,Aves,Pelecaniformes,Great white pelican,1272,,,,,,,9520,51,captivity,large,acceptable,
1464,Animalia,Chordata,Aves,Procellariiformes,Northern fulmar,2200,2200,55,1,1,,65,908,51,wild,medium,acceptable,
3693,Animalia,Chordata,Reptilia,Testudines,Spotted turtle,2920,2920,77,3,,,,165.4,51,wild,medium,acceptable,
1485,Animalia,Chordata,Aves,Procellariiformes,Manx shearwater,1825,1643,51,1,1,,45,434,50.9,wild,medium,acceptable,
3791,Animalia,Chordata,Reptilia,Testudines,African softshell turtle,,,,,,,,10818,50.6,captivity,small,acceptable,
1518,Animalia,Chordata,Aves,Psittaciformes,Red-and-green macaw,,,28,2.5,,,,1220,50.1,captivity,small,acceptable,
2278,Animalia,Chordata,Mammalia,Cetacea,Common minke whale,2740,2740,312,1,1,470,320000,7500000,50,wild,medium,acceptable,
1797,Animalia,Chordata,Chondrichthyes,Lamniformes,Great white shark,,3285,,6,,730,,1870000,50,wild,medium,acceptable,
2315,Animalia,Chordata,Mammalia,Cetacea,Narwhal,2191,2922,450,1,0.3,914,80000,1250000,50,wild,medium,acceptable,
1764,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Tiger shark,2555,1825,,31.5,,730,,444070,50,wild,medium,acceptable,
1703,Animalia,Chordata,Aves,Struthioniformes,Ostrich,1000,,,,,,,111000,50,captivity,large,acceptable,
1823,Animalia,Chordata,Chondrichthyes,Rajiformes,"Blue skate, or Common skate",4015,4015,,40,,365,,53405,50,wild,medium,acceptable,
4372,Animalia,Chordata,Teleostei,Perciformes,Dusky grouper,4015,,,,,,,33000,50,captivity,tiny,acceptable,
4348,Animalia,Chordata,Teleostei,Perciformes,Red drum,1642,1277,,,,,,24750,50,wild,medium,acceptable,
4477,Animalia,Chordata,Teleostei,Salmoniformes,Lake trout,4927,4745,,,,,,17985,50,wild,medium,acceptable,
4392,Animalia,Chordata,Teleostei,Perciformes,West coast seabream,3084,1971,,,,,,10615,50,wild,medium,acceptable,
4448,Animalia,Chordata,Teleostei,Salmoniformes,Lake whitefish,,,,,,,,10450,50,unknown,medium,acceptable,
1442,Animalia,Chordata,Aves,Procellariiformes,Wandering albatross,3671,,,,,,,7046.7,50,wild,medium,acceptable,
4534,Animalia,Chordata,Teleostei,Scorpaeniformes,Bocaccio,1460,1460,,,,,,5296.5,50,wild,medium,acceptable,
3800,Animalia,Chordata,Teleostei,Anguilliformes,American eel,1642,1642,,,,,,4031.5,50,captivity,small,acceptable,
4435,Animalia,Chordata,Teleostei,Pleuronectiformes,Plaice,1038,1095,,,,,,3850,50,unknown,medium,acceptable,
4527,Animalia,Chordata,Teleostei,Scorpaeniformes,Black rockfish,,,,,,,,2640,50,wild,medium,acceptable,
1547,Animalia,Chordata,Aves,Psittaciformes,Yellow-crested cockatoo,,,,,,,,340,49.7,captivity,medium,acceptable,
1645,Animalia,Chordata,Aves,Psittaciformes,Grey parrot,,,,,,,,333,49.7,captivity,large,acceptable,
3745,Animalia,Chordata,Reptilia,Testudines,Striped mud turtle,870,690,,,,,,143,49.6,captivity,small,acceptable,
2623,Animalia,Chordata,Mammalia,Monotremata,Short-beaked echidna,548,548,22,1,,730,0.379,3500,49.5,captivity,medium,acceptable,303.85
1793,Animalia,Chordata,Chondrichthyes,Hexanchiformes,Bluntnose sevengill shark,,5840,,88.5,,730,,58850,49,wild,medium,acceptable,
3260,Animalia,Chordata,Reptilia,Crocodilia,Siamese crocodile,,,,,,,,42500,49,captivity,medium,acceptable,
4110,Animalia,Chordata,Teleostei,Perciformes,White trevally,,,,,,,,9955,49,wild,medium,acceptable,
2794,Animalia,Chordata,Mammalia,Primates,Agile gibbon,2849,1825,216,1,0.3,1138,,5925,49,captivity,medium,acceptable,
466,Animalia,Chordata,Aves,Charadriiformes,Herring gull,1825,1460,26,3,1,,67.5,1094,49,unknown,medium,acceptable,
1495,Animalia,Chordata,Aves,Psittaciformes,Blue-fronted amazon,,,,,,,,451,49,captivity,large,acceptable,
1498,Animalia,Chordata,Aves,Psittaciformes,Yellow-naped parrot,,,,,,,,432.16,49,captivity,medium,acceptable,
571,Animalia,Chordata,Aves,Ciconiiformes,Oriental white stork,1278,1460,,,,,,4850.5,48.1,captivity,medium,acceptable,
2309,Animalia,Chordata,Mammalia,Cetacea,Gervais's beaked whale,,,,,,,,5600000,48,wild,medium,acceptable,
4258,Animalia,Chordata,Teleostei,Perciformes,Murray cod,,,,,,,,62000,48,wild,medium,acceptable,
3259,Animalia,Chordata,Reptilia,Crocodilia,Cuban crocodile,,,,,,,,57500,48,captivity,medium,acceptable,
1879,Animalia,Chordata,Coelacanthi,Coelacanthiformes,"West Indian ocean coelacanth, or Coelacanth",,,,,,,,52250,48,wild,medium,acceptable,
224,Animalia,Chordata,Aves,Accipitriformes,Golden eagle,1460,1460,40,2,1,,110.6,4800,48,captivity,medium,acceptable,
259,Animalia,Chordata,Aves,Accipitriformes,Bald eagle,1460,1460,35,2,1,,,3175,48,captivity,large,acceptable,
2234,Animalia,Chordata,Mammalia,Carnivora,Harbor seal,1095,1460,253,1,1,365,11000,115000,47.6,captivity,medium,acceptable,309.85
3502,Animalia,Chordata,Reptilia,Squamata,Cayman rock iguana,2009,2009,40,,,,,4100,47.6,captivity,medium,acceptable,
3548,Animalia,Chordata,Reptilia,Squamata,Ball python,1825,1825,77,7,,,,8858,47.5,captivity,large,acceptable,
1451,Animalia,Chordata,Aves,Procellariiformes,Grey-headed albatross,4383,,,,,,,3753,47.2,wild,medium,acceptable,
2676,Animalia,Chordata,Mammalia,Primates,Central American spider monkey,1825,1826,232,1,0.3,970,426,7267.5,47.1,captivity,large,acceptable,
2296,Animalia,Chordata,Mammalia,Cetacea,Melon-headed whale,4290,2465,365,1,,,,206000,47,wild,medium,acceptable,
2636,Animalia,Chordata,Mammalia,Perissodactyla,African wild ass,708,1005,359,1,,,30000,164998,47,captivity,large,high,
3251,Animalia,Chordata,Reptilia,Crocodilia,American crocodile,3652,,,,,,,76700,47,captivity,medium,acceptable,
3899,Animalia,Chordata,Teleostei,Cypriniformes,Common carp,1095,1095,4,300000,,,,10600,47,captivity,large,acceptable,
3687,Animalia,Chordata,Reptilia,Testudines,Common snapping turtle,3285,2646,,,,,,10250,47,wild,medium,acceptable,
